-BEGIN HEADER-,,,,,,,,,,,,,,,,
2021,3,20,15,534.84,535.42,163.9,637.76,27.3,0.56,2.77,33.79,91.6,5.66,89.45,6.3,89.5
2021,3,20,16,272.38,279.55,129.78,394.98,12.73,0.15,0.75,32.3,91.63,5.7,88.98,6.58,88.98
2021,3,20,17,50.38,55.7,45.87,38.85,2.53,0.01,0.02,29.37,91.7,4.29,89.27,7.33,89.33
2021,3,20,18,0,0,0,0,0,0,0,26.8,91.78,4.42,91.52,8.75,91.48
2021,3,20,19,0,0,0,0,0,0,0,26.14,91.87,5.53,94.86,9.36,94.74
2021,3,20,20,0,0,0,0,0,0,0,25.14,91.94,6.04,98.78,9.53,98.67
2021,3,20,21,0,0,0,0,0,0,0,24.04,91.98,6.31,104.19,9.62,104
2021,3,20,22,0,0,0,0,0,0,0,23,92,6.39,111.36,9.57,111.14
2021,3,20,23,0,0,0,0,0,0,0,22.05,91.97,6.02,118.69,9.07,118.29
2021,3,21,0,0,0,0,0,0,0,0,21.13,91.9,5.12,125.75,8.1,125.27
2021,3,21,1,0,0,0,0,0,0,0,20.12,91.84,4.01,133.58,7.29,132.96
2021,3,21,2,0,0,0,0,0,0,0,19.07,91.8,3.18,144.2,6.53,143.95
2021,3,21,3,0,0,0,0,0,0,0,18.18,91.8,2.87,155.88,6.07,155.61
2021,3,21,4,0,0,0,0,0,0,0,17.48,91.83,2.8,165.61,5.84,165.42
2021,3,21,5,0,0,0,0,0,0,0,16.91,91.91,2.81,173.61,5.68,173.44
2021,3,21,6,77.13,76.85,51.73,181.99,3.68,0.02,0.05,19.11,91.99,3.45,180.78,5.14,180.09
2021,3,21,7,315.59,307.92,112.98,528.95,15.09,0.2,0.95,23.18,92.08,3.54,179.49,3.9,174.71
2021,3,21,8,563.76,558.25,141.91,702.17,30,0.66,3.23,28.66,92.14,3.41,144.52,3.87,141.88
2021,3,21,9,771.12,773.5,150.45,798.13,43.85,1.27,6.5,31.42,92.13,3.18,131.61,3.55,130.81
2021,3,21,10,922.45,929.48,155.53,850.62,54.14,1.82,9.77,33.4,92.06,3.13,121.75,3.5,121.6
2021,3,21,11,991.94,1011.92,144.51,878.91,60.12,2.16,11.92,34.84,91.94,3.29,113.82,3.65,114.15
2021,3,21,12,987.95,1008.55,147.94,873.99,59.67,2.14,11.77,35.74,91.81,3.64,106.99,3.98,107.72
2021,3,21,13,920.68,923.62,152.57,860.51,53.68,1.79,9.58,36.12,91.69,4.13,102.91,4.48,103.53
2021,3,21,14,760.81,762.3,150.38,799.64,42.77,1.21,6.2,35.89,91.62,4.68,101.07,5.06,101.59
2021,3,21,15,518.41,541,146.47,638.84,27.3,0.58,2.88,35.01,91.6,5.25,101.24,5.73,101.55
2021,3,21,16,267.75,286.7,114.38,424.3,12.81,0.16,0.77,33.43,91.64,5.77,102.51,6.59,102.52
2021,3,21,17,55.19,58.3,43.36,101.59,2.73,0.01,0.05,29.99,91.71,4.58,104.11,7.88,104.28
2021,3,21,18,0,0,0,0,0,0,0,26.99,91.8,5.07,106.56,9.67,106.58
2021,3,21,19,0,0,0,0,0,0,0,26.15,91.9,6.34,108.61,10.26,108.56
2021,3,21,20,0,0,0,0,0,0,0,25.03,91.98,6.5,110.18,10.16,109.97
2021,3,21,21,0,0,0,0,0,0,0,24.13,92.03,6.41,112.41,9.9,112.21
2021,3,21,22,0,0,0,0,0,0,0,23.27,92.05,5.73,117.51,8.97,117.59
2021,3,21,23,0,0,0,0,0,0,0,22.21,92,4.58,123.45,7.89,123.41
2021,3,22,0,0,0,0,0,0,0,0,21.24,91.93,3.8,129.08,7.32,129.02
2021,3,22,1,0,0,0,0,0,0,0,20.8,91.87,3.51,134.19,6.85,134.21
2021,3,22,2,0,0,0,0,0,0,0,20.34,91.84,3.18,139.89,6.4,139.9
2021,3,22,3,0,0,0,0,0,0,0,19.77,91.86,2.84,146.44,6.01,146.29
2021,3,22,4,0,0,0,0,0,0,0,19.3,91.92,2.61,152.9,5.64,152.73
2021,3,22,5,0,0,0,0,0,0,0,18.8,92.02,2.47,159.04,5.24,158.83
2021,3,22,6,72.23,72.08,53.71,129.94,3.48,0.02,0.05,20.5,92.12,3.06,164.62,4.45,164.01
2021,3,22,7,298.37,291.7,126.41,445.78,13.81,0.18,0.9,23.73,92.22,2.87,158.11,3.25,150.91
2021,3,22,8,541,537.77,170.01,614.91,27.48,0.59,2.98,28.68,92.27,4.09,107.43,4.89,104.61
2021,3,22,9,748.43,752.98,188.67,717.66,40.66,1.16,6,31.32,92.26,4.67,94.03,5.35,93.1
2021,3,22,10,899.38,909.02,201.04,772.83,50.62,1.68,9.05,33.4,92.2,4.91,87.63,5.52,87.49
2021,3,22,11,953.91,981.58,222.64,757.12,54.96,1.95,10.75,35.16,92.09,5.06,85.84,5.6,86.16
2021,3,22,12,925.88,980.2,284.54,666.34,53.27,1.9,10.35,36.01,91.96,5.06,87.08,5.54,87.65
2021,3,22,13,872.64,895.7,265.09,679.84,48.66,1.61,8.52,36.13,91.85,4.96,89.64,5.39,90.5
2021,3,22,14,685.94,736.2,301.61,502.95,37.1,1.06,5.65,35.88,91.77,5.1,92.81,5.55,93.87
2021,3,22,15,477.73,517.05,247.73,394.67,24.6,0.53,2.67,35.08,91.76,5.41,95.3,5.99,96.29
2021,3,22,16,240.02,268.77,152.23,242.55,11.75,0.15,0.73,33.71,91.79,5.59,96.91,6.42,97.69
2021,3,22,17,50.56,53.83,44.55,51.55,2.5,0.01,0.02,31.22,91.85,4.37,96.99,7.1,97.2
2021,3,22,18,0,0,0,0,0,0,0,28.69,91.93,4.55,97.7,8.65,97.84
2021,3,22,19,0,0,0,0,0,0,0,27.66,92.03,6.02,101.53,9.64,101.64
2021,3,22,20,0,0,0,0,0,0,0,26.26,92.13,6.58,106.97,9.99,107.1
2021,3,22,21,0,0,0,0,0,0,0,25.08,92.19,6.62,112.54,9.8,112.56
2021,3,22,22,0,0,0,0,0,0,0,23.92,92.19,5.7,118.57,8.39,118.55
2021,3,22,23,0,0,0,0,0,0,0,23.16,92.15,5.03,125.32,7.25,125.21
2021,3,23,0,0,0,0,0,0,0,0,22.43,92.08,4.24,133.58,6.42,133.57
2021,3,23,1,0,0,0,0,0,0,0,21.6,92.02,3.33,143.29,5.81,143.15
2021,3,23,2,0,0,0,0,0,0,0,20.61,91.99,2.73,154.39,5.53,154.23
2021,3,23,3,0,0,0,0,0,0,0,20.08,91.98,2.7,165.44,5.54,165.22
2021,3,23,4,0,0,0,0,0,0,0,19.55,92.02,2.72,174.24,5.64,174.12
2021,3,23,5,0,0,0,0,0,0,0,18.56,92.08,2.7,180.83,5.77,180.7
2021,3,23,6,79.66,80.55,53.85,177.26,3.82,0.02,0.08,20.19,92.16,4.03,185.22,5.21,184.81
2021,3,23,7,322.38,314.73,111.02,544.07,15.43,0.21,1.02,24.26,92.23,3.66,179.63,3.97,176.16
2021,3,23,8,569.68,563.88,139.27,710.4,30.3,0.69,3.42,29.08,92.29,2.63,150.09,2.89,145.58
2021,3,23,9,775.47,777.83,148.48,801.53,43.99,1.31,6.8,32.34,92.28,2.53,121.87,2.86,120.56
2021,3,23,10,919.27,928.88,155.38,843.52,54.22,1.88,10.2,34.65,92.21,2.96,110.4,3.36,111.13
2021,3,23,11,1015.05,1038.73,88.91,957.23,64.06,2.41,13.5,36.26,92.11,3.47,107.42,3.92,108.72
2021,3,23,12,1012.72,1033.52,93.05,954.23,63.54,2.39,13.33,37.25,91.97,3.94,107.32,4.4,108.66
2021,3,23,13,944.62,947.75,97.55,946.8,57.45,2.01,10.88,37.65,91.84,4.39,108.69,4.86,109.92
2021,3,23,14,768.95,788.45,132.77,831.73,45.48,1.36,7.08,37.48,91.76,4.9,109.85,5.4,110.92
2021,3,23,15,547.34,569.38,137.67,702.35,30.52,0.68,3.4,36.62,91.73,5.46,110.98,6.03,111.82
2021,3,23,16,308.12,313.25,93.57,592.28,15.23,0.2,0.95,35.01,91.76,5.93,112.21,6.78,112.78
2021,3,23,17,55.59,68.2,36.19,165.81,2.68,0.01,0.05,32.08,91.83,5.03,112.86,7.79,112.76
2021,3,23,18,0,0,0,0,0,0,0,29.19,91.93,5.36,113.17,9.39,113.17
2021,3,23,19,0,0,0,0,0,0,0,28.11,92.05,6.61,113.99,9.94,113.97
2021,3,23,20,0,0,0,0,0,0,0,26.91,92.15,6.73,114.48,9.88,114.52
2021,3,23,21,0,0,0,0,0,0,0,25.71,92.2,5.99,116.26,8.87,116.25
2021,3,23,22,0,0,0,0,0,0,0,24.38,92.19,4.97,118.34,7.85,118.2
2021,3,23,23,0,0,0,0,0,0,0,23.2,92.16,4.41,122.79,7.28,122.68
2021,3,24,0,0,0,0,0,0,0,0,22.13,92.12,3.95,128.66,6.77,128.54
2021,3,24,1,0,0,0,0,0,0,0,21.18,92.07,3.52,134.82,6.31,134.8
2021,3,24,2,0,0,0,0,0,0,0,20.33,92.03,3.07,142.55,5.87,142.57
2021,3,24,3,0,0,0,0,0,0,0,19.58,92.03,2.7,150.77,5.51,150.71
2021,3,24,4,0,0,0,0,0,0,0,18.95,92.06,2.44,157.96,5.2,157.75
2021,3,24,5,0,0,0,0,0,0,0,18.43,92.13,2.3,163.04,4.98,162.96
2021,3,24,6,78.38,88.08,70.48,53.19,4.16,0.02,0.08,20.13,92.2,3.38,167.05,4.24,166.58
2021,3,24,7,303.75,329.52,187.66,296.75,15.66,0.22,1.08,24.34,92.27,3.11,150.67,3.58,143.53
2021,3,24,8,536.88,576.9,261.14,453.23,29.97,0.7,3.55,29.83,92.32,4.09,114.02,4.75,112.22
2021,3,24,9,744.49,786.95,273.84,599.95,43.86,1.33,7.02,32.89,92.31,4.59,104.08,5.26,103.75
2021,3,24,10,917.05,935.95,194.31,796.38,55.41,1.91,10.3,34.98,92.24,4.81,98.02,5.43,98.51
2021,3,24,11,998.21,1029.55,142.9,882.57,63.21,2.36,13.05,36.37,92.12,4.95,93.17,5.53,94.05
2021,3,24,12,997.5,1022.62,144.28,884.11,62.71,2.33,12.85,37.19,91.98,5.08,89.21,5.62,90.24
2021,3,24,13,924.91,936.73,110.2,909.66,56.54,1.95,10.48,37.33,91.85,5.24,85.9,5.75,87.04
2021,3,24,14,756.34,778.17,177.37,756.24,44.83,1.32,6.88,36.85,91.76,5.46,84.09,5.99,85.14
2021,3,24,15,545.02,560.65,146.84,682.07,30.52,0.66,3.33,35.84,91.74,5.75,83.61,6.38,84.38
2021,3,24,16,301.57,307.1,98.73,559.38,15,0.19,0.92,34.29,91.78,5.97,84.37,6.87,84.85
2021,3,24,17,67.25,66.48,42.4,211.74,3.11,0.01,0.05,32.22,91.84,5.27,86.17,7.44,86.21
2021,3,24,18,0,0,0,0,0,0,0,30.47,91.94,5.37,90.67,8.28,90.38
2021,3,24,19,0,0,0,0,0,0,0,29.35,92.03,5.82,97.25,8.25,97.18
2021,3,24,20,0,0,0,0,0,0,0,27.93,92.12,5.57,102.3,8,102.29
2021,3,24,21,0,0,0,0,0,0,0,26.7,92.16,5.05,107.37,7.2,107.29
2021,3,24,22,0,0,0,0,0,0,0,25.56,92.15,4.35,114.63,6.46,114.58
2021,3,24,23,0,0,0,0,0,0,0,24.45,92.1,3.73,124.76,5.99,124.64
2021,3,25,0,0,0,0,0,0,0,0,23.44,92.03,3.26,134.81,5.69,134.67
2021,3,25,1,0,0,0,0,0,0,0,22.62,91.95,2.9,144.86,5.48,144.7
2021,3,25,2,0,0,0,0,0,0,0,22.08,91.92,2.76,154.67,5.31,154.45
2021,3,25,3,0,0,0,0,0,0,0,21.44,91.91,2.47,163.63,5.12,163.5
2021,3,25,4,0,0,0,0,0,0,0,20.83,91.95,2.28,172.31,4.89,172.1
2021,3,25,5,0,0,0,0,0,0,0,20.44,92.02,2.16,179.79,4.56,179.61
2021,3,25,6,83.66,85.38,56.45,179.35,4.01,0.02,0.08,22.12,92.11,2.95,186.54,3.81,185.89
2021,3,25,7,314.77,316.23,141.22,440.62,15.33,0.21,1.02,25.6,92.19,2.1,173.59,2.13,160.97
2021,3,25,8,544.36,556.5,207.1,552.11,28.66,0.65,3.23,30.62,92.24,3.18,76.78,3.88,74.01
2021,3,25,9,747.68,762.25,224.44,665.12,41.16,1.2,6.23,33.04,92.23,4.47,61.15,5.14,61.6
2021,3,25,10,832.51,914.7,412.69,461.64,47.25,1.62,8.35,34.43,92.16,5.06,57.29,5.7,58.4
2021,3,25,11,894.89,1012.9,388.73,521.46,53.52,1.97,10.65,34.87,92.06,5.39,57,6,58.19
2021,3,25,12,899.26,1008.48,358.35,559.79,53.91,1.98,10.65,34.79,91.96,5.45,58.73,6.05,59.76
2021,3,25,13,794,920.92,360.7,483.31,45.98,1.57,8.08,34.64,91.87,5.18,61.66,5.77,62.67
2021,3,25,14,652.38,757,332.06,418.05,36.97,1.09,5.8,34.26,91.8,4.94,64.53,5.57,65.45
2021,3,25,15,472.64,532.67,244.86,389.88,25.25,0.55,2.8,33.8,91.78,4.9,68.18,5.62,68.97
2021,3,25,16,249.16,275.48,125.61,340.39,11.91,0.15,0.73,33.08,91.8,4.92,73.87,5.86,74.3
2021,3,25,17,53.8,54.9,44.96,75.17,2.59,0.01,0.02,31.1,91.86,3.49,81.11,6.25,81.6
2021,3,25,18,0,0,0,0,0,0,0,29.05,91.92,3.53,93.17,7.51,93.04
2021,3,25,19,0,0,0,0,0,0,0,28.68,91.99,4.88,106.93,8.62,106.59
2021,3,25,20,0,0,0,0,0,0,0,27.72,92.07,5.94,119.46,9.01,119.39
2021,3,25,21,0,0,0,0,0,0,0,26.48,92.12,5.89,129.46,8.54,129.43
2021,3,25,22,0,0,0,0,0,0,0,25.36,92.12,5.24,137.24,7.62,137.12
2021,3,25,23,0,0,0,0,0,0,0,24.49,92.06,4.58,144.44,6.9,144.26
2021,3,26,0,0,0,0,0,0,0,0,23.75,91.99,4.09,150.99,6.43,150.95
2021,3,26,1,0,0,0,0,0,0,0,23.06,91.93,3.48,158.1,5.89,158.1
2021,3,26,2,0,0,0,0,0,0,0,22.39,91.89,2.72,167.2,5.3,167.21
2021,3,26,3,0,0,0,0,0,0,0,21.76,91.89,2.17,178.14,4.65,178.07
2021,3,26,4,0,0,0,0,0,0,0,21.25,91.92,1.89,189.5,3.86,189.2
2021,3,26,5,0,0,0,0,0,0,0,20.91,91.98,1.74,200.56,3.05,200.52
2021,3,26,6,66.45,66.5,56.59,63.62,3.2,0.02,0.05,22.33,92.06,1.58,207.32,2.16,206.84
2021,3,26,7,287.89,281.9,144.75,360.95,13.16,0.17,0.88,25.9,92.15,1.13,122.05,1.68,106.24
2021,3,26,8,468.1,463.15,217.05,409.35,21.27,0.45,2.25,30.26,92.2,4.54,78.88,5.41,79.34
2021,3,26,9,686.93,689.77,247.48,557.09,34.39,0.96,4.95,32.93,92.2,5.88,79.82,6.79,80.73
2021,3,26,10,835.25,843.6,272.32,617.76,43.32,1.39,7.52,34.9,92.13,6.4,81.22,7.29,82.23
2021,3,26,11,978.43,1025.02,183.12,818.08,60.08,2.2,12.12,36.42,92.01,6.45,80.59,7.26,81.77
2021,3,26,12,966.3,1016.58,216.13,775.42,58.7,2.14,11.73,37.27,91.87,6.25,79.2,6.95,80.36
2021,3,26,13,901.35,926.8,194.23,787.98,52.94,1.78,9.52,37.53,91.75,6.13,79.49,6.76,80.55
2021,3,26,14,759.16,762.73,161.29,779.66,42.81,1.22,6.3,37.23,91.68,6.06,80.73,6.71,81.77
2021,3,26,15,539.73,538.75,154.22,659.38,28.3,0.6,2.98,36.24,91.67,6.08,83.21,6.82,83.95
2021,3,26,16,287.13,282.25,115.95,471.23,13.46,0.16,0.8,34.65,91.71,6.08,87.57,7.08,87.91
2021,3,26,17,53.99,57.42,46,67.72,2.78,0.01,0.05,32.1,91.79,4.87,94.23,7.53,94.17
2021,3,26,18,0,0,0,0,0,0,0,29.33,91.88,4.78,103.99,8.76,103.35
2021,3,26,19,0,0,0,0,0,0,0,28.33,91.98,5.95,114.85,9.22,114.42
2021,3,26,20,0,0,0,0,0,0,0,27.09,92.06,5.99,122.26,8.85,122.09
2021,3,26,21,0,0,0,0,0,0,0,25.99,92.1,5.61,126.06,8.24,126.25
2021,3,26,22,0,0,0,0,0,0,0,24.87,92.09,5.14,128.46,7.69,128.57
2021,3,26,23,0,0,0,0,0,0,0,23.71,92.03,4.61,131.36,7.1,131.48
2021,3,27,0,0,0,0,0,0,0,0,22.63,91.97,4.23,135.52,6.68,135.66
2021,3,27,1,0,0,0,0,0,0,0,21.72,91.91,3.89,140.62,6.37,140.67
2021,3,27,2,0,0,0,0,0,0,0,20.98,91.86,3.56,147.18,6.11,147.06
2021,3,27,3,0,0,0,0,0,0,0,20.37,91.85,3.11,154.21,5.79,153.92
2021,3,27,4,0,0,0,0,0,0,0,19.88,91.87,2.7,160.05,5.49,159.61
2021,3,27,5,0,0,0,0,0,0,0,19.48,91.92,2.46,162.83,5.25,162.51
2021,3,27,6,75.19,74.17,63.21,75.85,3.72,0.02,0.08,20.94,92,3.51,163.06,4.53,162.85
2021,3,27,7,269.7,281.15,173.15,241.86,13.02,0.18,0.88,23.83,92.08,3.16,159.59,3.6,156.33
2021,3,27,8,498.08,519.8,240.96,417.6,25.18,0.55,2.8,29.15,92.14,4,129.93,4.71,126.77
2021,3,27,9,719.58,729.9,236.98,610.12,38.41,1.09,5.65,31.81,92.14,4.3,111.86,5,109.82
2021,3,27,10,867.95,881.9,247.05,680.02,48.09,1.58,8.45,33.85,92.09,4.67,101.59,5.34,100.19
2021,3,27,11,927.73,977.52,330.68,613.23,53.98,1.94,10.52,35.46,91.99,4.95,97.07,5.57,96.12
2021,3,27,12,881.24,968.92,345.62,553.02,51.09,1.83,9.85,36.51,91.86,5.08,95.56,5.63,94.86
2021,3,27,13,861.3,877.83,246.16,684.85,48.1,1.57,8.33,36.91,91.74,5.06,94.69,5.55,94.04
2021,3,27,14,703.96,713.52,213.98,638.5,37.78,1.05,5.38,36.53,91.66,5.06,93.63,5.54,92.67
2021,3,27,15,467.15,492.9,218.05,425.79,23.71,0.5,2.48,35.55,91.64,5.21,92.49,5.76,91.48
2021,3,27,16,245.02,248.85,131,313.62,11.4,0.13,0.67,34.07,91.67,5.34,94.11,6.17,93.34
2021,3,27,17,50.72,49.33,42.74,67.5,2.48,0.01,0.02,31.59,91.75,4.17,99.48,7,99.64
2021,3,27,18,0,0,0,0,0,0,0,29.39,91.86,4.58,107.17,8.47,106.78
2021,3,27,19,0,0,0,0,0,0,0,28.86,91.97,6.07,113.36,9.03,113.08
2021,3,27,20,0,0,0,0,0,0,0,27.69,92.06,6.46,118.46,9.17,118.38
2021,3,27,21,0,0,0,0,0,0,0,26.51,92.12,6.53,123.23,9.09,123.08
2021,3,27,22,0,0,0,0,0,0,0,25.34,92.13,6.05,128.81,8.59,128.8
2021,3,27,23,0,0,0,0,0,0,0,24.29,92.09,5.25,135.24,7.67,134.96
2021,3,28,0,0,0,0,0,0,0,0,23.35,92,4.35,142.88,6.71,142.57
2021,3,28,1,0,0,0,0,0,0,0,22.62,91.93,3.7,152.73,6.01,152.2
2021,3,28,2,0,0,0,0,0,0,0,22.05,91.88,3.17,163.71,5.52,163.23
2021,3,28,3,0,0,0,0,0,0,0,21.45,91.86,2.68,175.49,5.26,174.97
2021,3,28,4,0,0,0,0,0,0,0,20.85,91.89,2.44,187.17,5.14,186.63
2021,3,28,5,0,0,0,0,0,0,0,20.5,91.95,2.34,194.13,4.92,193.49
2021,3,28,6,66.81,72.38,62.62,25.98,3.28,0.02,0.08,21.97,92.01,3.19,197.99,4.32,197.16
2021,3,28,7,230.59,276.3,185.87,111.3,11.4,0.16,0.8,24.63,92.08,3.1,198.39,3.23,195.45
2021,3,28,8,403.15,511.45,302.29,163.18,20.75,0.47,2.45,29.21,92.12,1.32,140.76,1.49,115.09
2021,3,28,9,558.24,720.15,390.85,211.08,29.87,0.88,4.65,32.27,92.09,2.54,74.85,3.04,69.84
2021,3,28,10,608.16,871.67,435.57,188.66,33.79,1.13,5.67,34.08,92.02,3.33,66.32,3.86,63.33
2021,3,28,11,739.77,909.62,469.94,276.75,38.8,1.35,7.23,35.06,91.91,3.95,64.45,4.51,62.02
2021,3,28,12,762.3,905.5,464.15,307.49,39.7,1.38,7.3,35.46,91.79,4.35,65.28,4.91,63.11
2021,3,28,13,757.66,818.8,406.16,391.02,38.35,1.22,6.3,35.33,91.7,4.52,68.09,5.05,66.01
2021,3,28,14,586.76,652.92,329.8,334.62,29.23,0.8,4.25,34.92,91.63,4.86,71.33,5.39,69.46
2021,3,28,15,398.1,440.48,259.4,236.93,18.98,0.4,2,34.15,91.62,5.23,75.47,5.87,74
2021,3,28,16,217.89,222.8,153.44,177.15,9.45,0.11,0.55,32.98,91.65,5.34,79.73,6.24,78.82
2021,3,28,17,44.98,43.17,42.16,23.83,2.1,0.01,0.02,30.75,91.71,3.97,85.49,6.71,85.86
2021,3,28,18,0,0,0,0,0,0,0,28.26,91.8,3.64,92.21,7.68,92.16
2021,3,28,19,0,0,0,0,0,0,0,27.48,91.91,4.15,96.05,8.21,95.79
2021,3,28,20,0,0,0,0,0,0,0,26.8,91.99,4.66,101.4,8.58,101.14
2021,3,28,21,0,0,0,0,0,0,0,26.14,92.04,5.25,113.4,8.7,113.27
2021,3,28,22,0,0,0,0,0,0,0,25.31,92.05,5.61,130.54,8.54,130.44
2021,3,28,23,0,0,0,0,0,0,0,24.44,92.03,5.58,144.75,8.21,144.6
2021,3,29,0,0,0,0,0,0,0,0,23.72,91.97,5.28,154.99,7.85,154.79
2021,3,29,1,0,0,0,0,0,0,0,23.42,91.9,5.03,161.9,7.17,161.7
2021,3,29,2,0,0,0,0,0,0,0,23.26,91.86,5.06,166.78,7.13,166.57
2021,3,29,3,0,0,0,0,0,0,0,22.94,91.84,4.62,168.98,6.54,168.57
2021,3,29,4,0,0,0,0,0,0,0,22.37,91.87,3.81,170.81,5.99,170.39
2021,3,29,5,0,0,0,0,0,0,0,21.72,91.93,3.15,174.45,5.65,173.81
2021,3,29,6,73.21,73.38,67.26,36.19,3.61,0.02,0.08,22.67,92.01,3.96,178.31,4.84,177.23
2021,3,29,7,261.69,279.12,203.66,143.47,12.6,0.17,0.85,25.84,92.08,3.29,173.04,3.53,169.29
2021,3,29,8,467.77,516.83,324.31,231.22,23.59,0.53,2.73,29.59,92.13,1.94,135.49,2.08,126.74
2021,3,29,9,665.72,726.77,393.63,342.22,35.01,1.02,5.35,32.44,92.11,2.35,71.57,2.77,67.99
2021,3,29,10,779.59,878.55,458.23,350.64,42.47,1.41,7.17,34.53,92.05,3.55,52.07,4.05,51.58
2021,3,29,11,822.74,952.17,399.18,433.83,47.07,1.66,8.85,35.96,91.94,4.4,46.22,4.95,46.15
2021,3,29,12,840.09,945.17,444.53,407.53,47.2,1.66,8.8,36.83,91.81,4.96,43.91,5.51,44.08
2021,3,29,13,739.71,855.2,414.95,360.96,40.3,1.31,6.62,37.19,91.68,5.24,42.58,5.79,42.87
2021,3,29,14,645.98,697.58,367.83,361.98,33.76,0.93,4.98,37.04,91.6,5.42,41.43,5.98,41.56
2021,3,29,15,443.95,474.83,253.05,325.91,21.95,0.45,2.25,36.26,91.56,5.51,41.03,6.14,41.13
2021,3,29,16,247.61,243.9,158.3,245.29,11.05,0.12,0.62,34.87,91.58,5.44,42.5,6.25,42.47
2021,3,29,17,48.91,47.5,44.27,39.09,2.33,0.01,0.02,32.04,91.64,3.67,46.38,6.33,46.85
2021,3,29,18,0,0,0,0,0,0,0,28.8,91.72,3.17,58.11,6.77,58.02
2021,3,29,19,0,0,0,0,0,0,0,27.75,91.81,3.26,76.13,7.06,75.78
2021,3,29,20,0,0,0,0,0,0,0,26.74,91.89,3.46,98.97,7.46,98.5
2021,3,29,21,0,0,0,0,0,0,0,25.87,91.95,4.1,119.79,8.08,119.22
2021,3,29,22,0,0,0,0,0,0,0,25.17,91.96,5.04,135.13,8.42,134.74
2021,3,29,23,0,0,0,0,0,0,0,24.43,91.93,5.27,146.43,8.33,146.21
2021,3,30,0,0,0,0,0,0,0,0,23.87,91.88,5.2,156.71,8.17,156.57
2021,3,30,1,0,0,0,0,0,0,0,23.4,91.82,5.2,168.47,8.17,168.42
2021,3,30,2,0,0,0,0,0,0,0,23.05,91.79,5.26,180.51,8.14,180.44
2021,3,30,3,0,0,0,0,0,0,0,22.56,91.78,4.98,190.59,8,190.57
2021,3,30,4,0,0,0,0,0,0,0,22.08,91.81,4.36,199.99,7.59,200.06
2021,3,30,5,0,0,0,0,0,0,0,21.55,91.87,3.58,211.89,6.99,212.07
2021,3,30,6,74.9,77.73,68.46,38.41,3.73,0.02,0.08,22.91,91.94,4.47,227.05,5.84,226.35
2021,3,30,7,260.56,287.23,215.47,110.78,12.89,0.18,0.88,26.06,92.01,4.36,240.59,4.92,239.97
2021,3,30,8,464.38,526.12,349.23,184.9,23.78,0.53,2.75,29.44,92.05,3.71,259.94,4.03,260.28
2021,3,30,9,689.34,736,407.48,353.61,36.07,1.04,5.45,32.53,92.03,3.14,299.5,3.32,302.79
2021,3,30,10,843.05,883.77,343.59,544.01,46.75,1.51,7.9,34.73,91.95,3.78,335.98,4.06,337.97
2021,3,30,11,926.37,959.62,247.24,694.66,53.35,1.81,9.88,36.01,91.84,4.82,350.57,5.2,351.63
2021,3,30,12,912.39,953.55,287.72,642.94,52.18,1.77,9.6,36.72,91.7,5.6,356.56,6.09,357.28
2021,3,30,13,805.62,864.9,382.81,469.58,44.46,1.43,7.3,36.76,91.58,6.02,359.78,6.59,0.27
2021,3,30,14,652.73,702.88,294.34,466.13,34.91,0.95,4.9,36.3,91.5,6.1,3.3,6.71,3.61
2021,3,30,15,434.79,484.65,245.58,322.87,22.34,0.46,2.3,35.44,91.48,5.98,7.66,6.65,7.77
2021,3,30,16,230.76,243.33,147.39,228.8,11.02,0.12,0.62,34.18,91.49,5.73,12.05,6.57,12
2021,3,30,17,50.82,48.9,45.79,42.3,2.5,0.01,0.02,32.32,91.55,4.33,16.8,6.47,17.12
2021,3,30,18,0,0,0,0,0,0,0,30.18,91.63,3.17,23.98,6.74,23.95
2021,3,30,19,0,0,0,0,0,0,0,29.51,91.72,3.18,31.11,6.78,30.91
2021,3,30,20,0,0,0,0,0,0,0,28.49,91.79,2.97,39.55,6.47,39.22
2021,3,30,21,0,0,0,0,0,0,0,27.55,91.82,2.81,50.3,6.02,49.74
2021,3,30,22,0,0,0,0,0,0,0,26.91,91.81,2.66,64.04,5.48,62.92
2021,3,30,23,0,0,0,0,0,0,0,26.24,91.77,2.57,82.66,5,81.29
2021,3,31,0,0,0,0,0,0,0,0,25.64,91.71,2.53,106.7,4.93,105.36
2021,3,31,1,0,0,0,0,0,0,0,25.08,91.65,2.63,131.39,5.36,130.68
2021,3,31,2,0,0,0,0,0,0,0,24.45,91.62,2.88,150.37,5.91,149.84
2021,3,31,3,0,0,0,0,0,0,0,23.4,91.61,2.97,163.47,6.1,163.1
2021,3,31,4,0,0,0,0,0,0,0,22.67,91.65,2.91,172.89,5.93,172.51
2021,3,31,5,0,0,0,0,0,0,0,22.09,91.71,2.75,180.16,5.36,179.83
2021,3,31,6,86.48,84.08,77.58,52.14,4.3,0.02,0.1,24.35,91.78,2.93,188.43,4.33,188.19
2021,3,31,7,289.3,301.17,198.73,221.16,14.22,0.2,1,28.39,91.86,1.85,208.3,1.44,214.64
2021,3,31,8,504.12,542.83,321.47,292.25,26.18,0.61,3.12,32.76,91.91,2.34,351.95,2.79,357.59
2021,3,31,9,697.73,748.65,347.17,438.74,38.54,1.15,6.05,34.91,91.91,3.67,2.32,4.08,5.06
2021,3,31,10,870.57,899.45,306.71,613.08,50.06,1.7,9,36.48,91.85,4.44,4.95,4.84,7.14
